,sentiment,text
50,0, wow tons of replies from you may have to unfollow so i can see my friends tweets youre scrolling the feed a lot 
51,0,our duck and chicken are taking way too long to hatch 
52,0,put vacation photos online a few yrs ago pc crashed and now i forget the name of the site 
53,0,i need a hug 
54,0, not sure what they are only that they are pos as much as i want to i dont think can trade away company assets sorry andy 
55,0, i hate when that happens 
56,0,i have a sad feeling that dallas is not going to show up  i gotta say though youd think more shows would use music from the game m
57,0,ugh92 degrees tomorrow 
58,0,where did u move to  i thought u were already in sd  hm random u found me glad to hear yer doing well
59,0, i miss my ps3 its out of commission  wutcha playing have you copped blood on the sand
60,0,just leaving the parking lot of work 
61,0,the life is cool but not for me 
62,0,sadly though ive never gotten to experience the post coitus cigarette before and now i never will 
63,0,i had such a nice day too bad the rain comes in tomorrow at 5am 
64,0, too bad i wont be around i lost my job and cant even pay my phone bill lmao aw shucks 
65,0,damm back to school tomorrow 
66,0,mo jobs no money  how in the hell is min wage here 4 fn clams an hour
67,0,  not forever see you soon
68,0,algonquin agreed i saw the failwhale al day today 
69,0, oh haha dude i dont really look at em unless someone says hey i added you sorry  im so terrible at that i need a pop up
70,0, im sure youre right i need to start working out with you and the nikster or jared at least
71,0,i really hate how people diss my bands  trace is clearly not ugly
72,0,gym attire today was puma singlet adidas shortsand black business socks and leather shoes  lucky did not run into any cute girls
73,0,why wont you show my location 
74,0,no picnic  my phone smells like citrus
75,0, my donkey is sensitive about such comments nevertheless hed and med be glad to see your mug asap charger is still awol 
76,0,no new csi tonight  fml
77,0,i think my arms are sore from tennis 
78,0,wonders why someone that u like so much can make you so unhappy in a split seccond  depressed  
79,0,sleep soon i just hate saying bye and see you tomorrow for the night 
80,0, just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine 
81,0,missin the boo 
82,0, me too  itm
83,0,damn i dont have any chalk my chalkboard is useless 
84,0,had a blast at the getty villa but hates that shes had a sore throat all day its just getting worse too 
85,0, hey missed ya at the meeting  sup mama
86,0,my tummy hurts  i wonder if the hypnosis has anything to do with it if so its working i get it stop smoking
87,0,why is it always the fat ones 
88,0, sorry babe  my fam annoys me too thankfully theyre asleep right now muahaha evil laugh
89,0, i should have paid more attention when we covered photoshop in my webpage design class in undergrad 
90,0,wednesday my bday dont know what 2 do 
91,0,poor cameron the hills 
92,0,pray for me please the ex is threatening to start sh at myour babies 1st birthday party what a jerk and i still have a headache 
93,0, hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike
94,0,strider is a sick little puppy  
95,0,so ryleegracewana go steves party or not sadly since its easter i wnt b able 2 do much  but ohh well
96,0,hey i actually won one of my bracket pools too bad it wasnt the one for money 
97,0, you dont follow me either  and i work for you
98,0,a bad nite for the favorite teams astros and spartans lose  the nite out with tw was good
99,0, body of missing northern calif girl found police have found the remains of a missing northern california girl  
100,0, i hope they will increase the capacity fast yesterday was such a pain got the fail whale 15 times in 2 hours 
101,0,behind on my classes for work 
102,0,watching quothousequot 
103,0, remember my bum leg strikes back this time its serious 
104,0, cool i will their are all kinds of complaints about this laptop online about overheating but no recalls 
105,0,emily will be glad when mommy is done training at her new job she misses her  
106,0,would rather the first party send bad messages than the 3rd party send mixed ones  sophmore year all over again
107,0, its overrated 
108,0,q i know i heard it this afternoon and wondered the same thing moscow is so behind the times 
109,0,laying in bed with no voice 
110,0,im so sad they killed off kutner on house  why
111,0, sorry  tell them mea culpa from me and that i really am sorry
112,0, it didnt make any sense to me the suicide thing i refuse to believe that that is actually what happened 
113,0,  hope your ok
114,0, damn the grind is inspirational and saddening at the same time  dont want you to stop cuz i like what u do much love
115,0, yeah aw but i know i wudnt stand a chance 
116,0,ugh cant sleep its 130am 
117,0,hanging in crooners wanna sing cant sucks 
118,0,sc aaw i miss ya all too im leaving to bh tomorrow quotmorningquot i think aww i wanna go to the beach w u girls 
119,0,is pissed off that theres no asbas for a radio station 
120,0,wednesday my bday n dont know what 2 do  
121,0,i know my life has been flipped upside down when i just thought in my head that some ramen sounds good 
122,0,i am in pain my back and sides hurt not to mention crying is made of fail 
123,0,late night snack glass of oj bc im quotdown with the sicknessquot then back to sleepugh i hate getting sick 
124,0, but but but im not a big fan on camilla belle 
125,0, wah i cant see clip must be elstupido work filters cant wait till i get a puter something else 2 blame ex 4 he broke mine 
126,0,this week just seems to get longer and longer in terms of how much i need to do and how much im actually going to get done 
127,0,im so cold 
128,0, eh dont weathers gonna take a turn for the ugly tomorrow 
129,0, haha its so cold in the d and no  but you should still go to the show they do some incredible stuff
130,0,hoping the tummy rumbles go away soon 
131,0, no no notice they told me id be working tomorrow and then i called the agency to follow up and they said it was over 
132,0,almost bedtime 
133,0,im missing you babe  but as long as your alive im happy yawnn im tired my love imma try to sleep hopefully you had a headstart
134,0,aghsnow 
135,0,i miss kenny powers 
136,0, thank you for letting people know but now im sad that the direct message i got wasnt actually from bridget 
137,0,and india missed out its 100th test victory n 10th consecutive win without a loss 
138,0, i guess thats a no then 
139,0,sadly is going to bed 
140,0, shame to hear this stephan 
141,0, hey im leavin in the morning 
142,0,was intending to finish editing my 536page novel manuscript tonight but that will probably not happen and only 12 pages are left 
143,0,laid around too much today now my head hurts 
144,0, i still havent read the 9thamp10th princess diaries  saving francesca made me cry at the end hmm those are easy books
145,0,my nokia 10 died  
146,0,my mom might have breast cancer wont find out anything for like a week im so worried 
147,0,going to sleep hoping tomorrow is a better day 
148,0, lol wish they understood daylight savings has ended though and breakfast is an hour later  they keep waking the kids up too
149,0, that is lame 
150,0,i dont understand i really dont 
151,0,heroes just isnt doing it for me this season 
152,0,living not downtown sure isnt much fun  
153,0, not calorie wise i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke
154,0,man work is hard 
155,0,getting sick  time for some hot tea studying and then slep
156,0,getting eyebrows waxed more pain 
157,0,no phantasy star yesterday  going to work
158,0,oh  just got all my macheist 30 apps  sweet didnt get the espresso serial no though although they said they sent it  oh well 
159,0,picked mich st to win it all from the get go  was feeling pretty good about that pick all the way up untiltonight  as lost too 
160,0,is alone downstairsworking 
161,0,i feel bad for doing it 
162,0, is it just me or she hates anoop i mean seriously shes kinda mean to him 
163,0, yes sprint has 4g only in baltimore and chicago so far 
164,0,im stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday 
165,0,thanks for bursting my bubble 
166,0,going to school soon cant find anything to wear gosh its so hard 
167,0, i was serious  lol
168,0, i had on my page for so long until it got deleted  sad day in history
169,0,crazy wind today  no birding  
170,0,currently at work 
171,0,gr my ipods acting weird too jai ho and thinking of you arent playing the full songs ughh 
172,0, send me the dvd cos i have missed out on heaps  not happy about that
173,0,i dont see the big deal with this website 
174,0, im so sorry youre having to go through this again  therapyfail
175,0, far too out of the way for rail  any other tips
176,0,im not still up i swear why do i keep losing gaining losing gaining tweeps  so heart wrenching
177,0,today i realized i am too good at hiding things even i cant find it 
178,0,staying at a friends househouse sitting neighbors are so loudhaving a party 
179,0, danny im upset that i wasnt here to watch the live chat  i was in a car for 3 hours on a trip im so upset
180,0,check out my mug  
181,0,borders closed at 10 
182,0,downloading nins new album quotthe slipquot  when the hell did this come out im so behind the times these days 
183,0,just woke up an already have written some email ive to go early at university today as i have to teach at 830 am 
184,0,is watching the hill   and its making me sad 
185,0,so many channels yet so so boring lazy day again  may have to find a hobby
186,0, i miss my buddy  ill be in ny on the 25th
187,0,  love the french i tell people here in the south im qtr french and they snarl at me  french are beautiful people
188,0,opps as i said i still got one day remain and now problem come 
189,0,i activated my selfcontrol block early meaning i cant check out the new qc  regularizing my internal clock is might be difficult fb
190,0,  oh no
191,0,spencer is not a good guy 
192,0, what about reese dying on ttsc and season finale next week  24 boring madame president is a crazy woman
193,0, i hate the limited letterstoohope you and the guys are finei pray for my dogshes not well 
194,0,didnt get shit done today  im so screwed 
195,0,wanttss to go out 
196,0,is not going to sleep tonite 
197,0,too worried and tired to post tonight 
198,0,couldnt get shit done today  im so screwed 
199,0,job interview in cardiff today wish me luck got about 3 hours sleep 
200,0, your show is whack way worse than whack its wiggetywhack 
201,0, i really dont think people choose to be that way but i think he chose not to accept my familys help he might be dead by now
202,0, youre going to kill me but ive not seen ds9 ive been waiting till i can do it in one solid week sitting 
203,0, i think ur right hahaha 45 hrs now 
204,0,i hate to see the spartans so sad 
205,0,my mind and body are severely protesting this quotgetting upquot  thing had nightmares to boot 
206,0, im goin to follow u since u didnt  lol  go angels
207,0, 
208,0, i think i want to read some books but the library doesnt have them 
209,0,my nap was interrupted so many times today  going out for japanese with the rents again
210,0,kind of longs for the bus that shows up at the end of ghost world right now ugh 
211,0, but this is canada  canada is weird were supposed to get snow through wednesday ugh
212,0,awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot  o i like the look of the new transformer movie 
213,0,sad that the feet of my macbook just fell off 
214,0,im gonna get up late tomorrow and its 132am here i gonna get tipsy by my lonesome thatsthats just sad 
215,0,im sweating my forthcoming trip to e3  if i cant find someone to crash with while im out there i may be screwed  
216,0,has now gotten somebody to read his tweets but cant get them to make an account 
217,0,  omgawd i couldnt handle my cat being in heat all the time d d
218,0, i hope i can make it to the auburn show but its not looking good for me 
219,0,henrie thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho  haha
220,0, congrats  i totally forgot to submit photos 
221,0, aw good luck paula please dont work too hard  but i hope you have fun  your new album is gonna be amazing  x
222,0, now your leaving me   gets sad
223,0,i miss you twitter my phone broke now im using a stupid nokia phone ugh i miss my advance phone 
224,0,shooting outside my house o not kidding so scared 
225,0,tuesdayll start with reflection n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers 
226,0,what tragedy and disaster in the news this week 
227,0,yes yes still trying to find a picture that will upload correclty 
228,0,why oh why was the red sox game rained out i was so looking forward to opening day 
229,0,i still cant find my keys 
230,0, i know right i dunno what is going on with twitter 
231,0,might be getting a sore throat again 
232,0, my home town my mammy called all depressd  pls explain y a parent let their 8yr old child walk alone hello its 2009
233,0,  i think i need to find better antidepressants  i think this paxilwellbutrin combo is losing its efficacy  
234,0, restaurant called woodntap has competitive eating tourney round tourney time we place 2nd 
235,0,is in the bathroom wake up lakin 
236,0, i want tacos and margarhitas  tel gay i say hellolt3
237,0,im lonely  keep me company 22 female california
238,0,bad day at the betfair office 
239,0,i miss him  cant wait to celebrate the tar heel win this weekend though
240,0,im really cold i dont want to go to sleep yet but theres nothing to do 
241,0, is this it 4 u its  officially over  4 me this go round 
242,0,monkeys i just found out you my twin and you wont even write back  im heartbroken
243,0,om aww  i know i felt like that yesterday at work 
244,0, treaty isnt defined 
245,0,missed brent at praise band no fun to not have the your lead guitarist  ltpoutgt
246,0, poor john  this is what happens when you play with fruit and a microwave seriously though have you seen a doctor x
247,0,missing my bff  watching home and away it reminds me of her and me  we lt3 it shout out to u courts
248,0, 
249,0,new video card is doa 
250,0,feeling lost naked and confused jk sort ofno iphone for me 
251,0,damn i am so late at filling this appraisal form people have almost sent it  i was so occupied in work 
252,0,missed brent at praise band  no fun to not have your lead guitarist ltpoutgt
253,0,i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him  gah
254,0,has lost his ring its nowhere to be seen 
255,0, oh sealclap see i download shitloads of zip folders off 4chan i have no internet moneys  fuck yeah alicia amp mikey
256,0,is still nursing my nile but glad he is feeling better i hate when my baby is sick 
257,0,is fucked to go back to ic 
258,0, yoyoyo my internet has been rude tonight it just reconnected and im about to go to bed 
259,0, well i have uni stuff and netball  but after netbal if ive done uni stuff we can
260,0, me too i is poor 
261,0,help me forget 8th april amp 13th july 
262,0,dierks bentley is comin to columbus oh i wanna go so bad 
263,0,i have to take my sidekick back 
264,0, congrats im totally jealous only wish my xm was working 
265,0,gr8t my face is very itchy 
266,0,poor socks  luv the golden retriever i want one sigh
267,0,i just saw that they found that tracy girl in a piece of luggage how fucking terrible 
268,0,and the nausea is back 
269,0, ooh im excited and not even going 2 be there  long love youtube
270,0,spent 1 hour to reach to axis bank only to find out today is holiday for mahavir jayanti  contd
271,0,  i agree the jobros dont update theres very often 
272,0, it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link 
273,0, o who with im not neither but thats because i need to study  
274,0,havent tweeted nearly all day  posted my website tonight hopefully that goes well  night time
275,0, i miss bentley 
276,0,seriously needs to finish these job applications 
277,0,my son vincas is sick so i stay at home  just three tense days at work and i am back on holiday with kids
278,0,whinging my clientampboss dont understand english well rewrote some text unreadable its written by v good writerampreviewed correctly 
279,0, i dont want him to ever punch me  
280,0,so sick of the snow  ughh
281,0,nemesis  
282,0, it doesnt work your fan is upset 
283,0,i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern 
284,0, but i cant figure out how to get there  back  pay for a hotel etc 
285,0,fml so much for seniority bc of technological ineptness i now have to quotregisterquot for classes again 
286,0,feels like she slept the day away not looking forward to any more bouts with my gallbladder  at least i have pills now for the pain
287,0, but what i really want is my old bass back 
288,0,mad tired today callin it in early tonight  nighty night twittas
289,0, take it easy and be good to you 
290,0,im afraid i had bad code 
291,0,think im going to bed goodniight i hate this 
292,0,  im here friend and i love you
293,0,  all this time you didnt notice i was gonejust needed db2 is it
294,0, is in the bathroom and i have to pee 
295,0, but i wanted a margarita too 
296,0, yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough
297,0,just called hillsong again  they said they couldnt tell me where i was on the waiting list  i dont know if its looking so good 
298,0,has 0g of milky bar left and around 200ml of coke 
299,0, it stil hasnt arrived 
300,0,mraow i feel like dancing but first art school wants to rape me some more 
301,0, ah i bet it does ive been like craving to play softball or basketball  but i have noo time 
302,0,is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
303,0,amazon s3 plugin not worked in my website  it need php 5  but my hosting provider has only php 44   very sad
304,0,argh i was super sleepy an hour ago now im wide awake  hope i dont stay up all night 
305,0, i wish i was  sold out if you have some time let me know i would love to hear more about what you are up to
306,0,just watched tropic thunder dreading tomorrow 
307,0, nohes still missn 
308,0,chiefdelphi is down 
309,0,  according to my bro our new puppy had a poo fight and was covered in poop  picture stolen from him
310,0,playing game at home my new boss didnt call me yet 
311,0,su yin huen tweeted i feel unbearable guilt i made my staff cry  
312,0,poor joshy is sick those damn tejanos
313,0,my thoughts are with sandra cantus family at this difficult and sad time 
314,0, i know just wanted to let everybody know what was happening  
315,0,michigan who  i dont know them sigh shameful
316,0,i have to fill two hours 
317,0, so cute hey i miss you na  its not the same not seeing you girls everyday 
318,0, oh did i mention it quotgod morningquot  from germany im back in my cageor bettermy office 
319,0,throat is closing up and i had some string cheese not a good idea 
320,0,aww sandra cantu is found dead in a suitcase  missing children stories never seem to go good poor family
321,0,wishing i was home underneath my covers 
322,0,walking home from school drains all my energy 
323,0, i agree the shapeshifting is a copout i was so excited for angelas ep i thought it was this week  noah was awesome tho
324,0, dang i would have done this if i knew it was there earlier  any other outings planned
325,0,i wish i was better at writing its taking me so long to write this paper 
326,0,and of course i have access to my halo 3 mythic map pack redownload but bad news not the legendary map pack ugh 600ms 
327,0, not yet unfortunately another few weeks ive been told  how are you ive been a little bit busy with my latest project
328,0, ha the suns already gone 
329,0,day 2 a lot harder than day 1 lets see how day 3 goes tomorrow 
330,0,my man crush jake peavy let me down  gayforpeavy
331,0, megafast trip you have time during day tomweds or you going out tonight want to see you bad tried to warn you tech fail 
332,0,michigan state you make me sad 
333,0,omg my mouth is in so much pain  i just wanna sleep untill its time to take my braces off
334,0,getting annoyed easily today  gtgtgt biofuel proposal getting annoyed easily today  gtgtgt biof 
335,0, hey girl the site is back  girlyvue is back and they have even more videos 
336,0, im spending time with my grandma early tomorrow and i cant leave skittles by herself 
337,0,just got home from watching michigan state get tromped 
338,0,oh jewbus two years worth of classes work is alot to organize gtlt im not finishing tonight its not possiblemy bones ache 
339,0, no exchanging for me my laptop hasnt arrived 
340,0, i hope this doesnt last too long  i feel miserable
341,0, rachel hang outage is neccessary  i was gonna be home this wekend but dumb folk make me work so im free f and sat until 4
342,0, not fun amp furious the new mantra for the bay 2 breakers it was getting 2 rambunctiousthe city overreacted amp clamped down 
343,0,benson  my hubby for some reason thinks its more important he has a good spot for red carpet for the trek movie premiere sod
344,0,i swear no matter how long ive been getting up at 5am it never gets any easier man my eyes hurts wah 
345,0,star jeffree how do you keep your hair one color my permanent dye fades within the week 
346,0, my reaction too  whoa didnt see that coming
347,0,still sick feeling a bit better got some new medicine hope i feel good after a night of sleep ohh and its suppose to snow wtf 
348,0, i think maybe you should get a couple more hours of sleep hon how productive can you be right now if ur dog tired i worry 
349,0, thanks a lot learned a lot of new words but didnt find what i was looking for 
350,0,wish i had all the xblm downloads all on the gamertag hitokyri this 5 gamertag thing is nonsense and im tired of it 
351,0,new testament test at 930 am 
352,0, tons no hay troll ah 
353,0,stupid movies we watched mirrors ugh stoped rip off 
354,0,  i love you buck 
355,0,last one but still not done 
356,0,homework 
357,0,i dont understand why things get taken away i didnt have enough time with him its unfair i want him back he was like my baby 
358,0,scratch that du in heif two in a half cookies my tum just cant take anymore shoog poots 
359,0, i was just listening to the sweets for the first time in forever i miss them so much  can we go to chi town for visits plz
360,0,geez what a busy afternoon meetings emails meetings and email and more meetings 6pm and the day is still going ah its dark and 
361,0,dang another spring break  how cool is that  too bad i have to work all week  oh well more money for a phone  ttyl everbody
362,0,kate im afraid too   ur reply about uni from ages ago
363,0,feeling down 
364,0, lol they are some emotional ass men omg all this late night eating both of us are broke 
365,0,carter aww nick i like your hair longer why did you cut it off  break my heart
366,0, wonder if jon lost the net
367,0,wow the most depressing thing in the world is losing a video that youve created in a matter of seconds  fml
368,0,  but all says not in stock 
369,0, lmao im sorry poohpot i ate it all 
370,0,any chance  softbelly for  isnt loud 
371,0,time to move my posterior  and lose some fat my articulation are creaking so no more running  but im drool for some swimming
372,0,listening to nathan cry 
373,0,today sucked im gonna die without chris and callum  wah
374,0,stou site not update no info about 22552 exam and open course i must wait for mail notices and doc um 
375,0,im sorry im feeling kinda yucky myself 5am is going to come too quick 
376,0,is in love with scrappy and is missin him already 
377,0,wants to hear  s song but myspace is messing with me 
378,0,bad news was dad has cancer and is dying good news new business started and  i am now a life coach practising holistic weight management
379,0,rebecca man intervention is soo sad 
380,0,help i need a new boyfriend im stuck in a rut 
381,0,i feel like a complete idiot im the only one who doesnt get how this shit works  help me 
382,0,saw an ad on craigslist for a casting call for a female host on g4 i was totally psyched but realized it was a hoax 
383,0,pepperoni rolls in la i called valentinos  they said that they had sausage rolls but no pepperoni rolls  
384,0, yes it will be its only monday 
385,0,i want the new gg episode already 
386,0,i miss watching rockos modern life 
387,0,rip sandraits so sad how can someone do something like that
388,0,keeping my fingers crossed for my buddy he is not feeling well
389,0,wait should i eat or be skinny for vegas im hungry 
390,0,inovera i tried tweetdeck once and i hated it with a passion or it hated me im not sure 
391,0, btw my iphone is acting funny dying quickly and freezing and bs  im not admitting anything just sayin 
392,0,sitting here wondering why quotedquot still has such a strong hold on me 
393,0, im sorry i got you sick  lol going to bed too night
394,0, no internet at home have to drive into ox to use internet because of builders 
395,0,buscemi the weather in canada is freezing 
396,0,twiggas i been out of range all day  im back now and hopefully for good
397,0, 
398,0,anyone who reads this pray for my grandma shes in pain 
399,0,3 woke up and was having an accident  quotits pushing its pushingquot he was crying because he couldnt stop from wetting his pants  
400,0,home from franklin street i almost jumped over a fire someone kicked it before i could  jenny lost her shoe
401,0, hey you just changed your default 
402,0,finally gave in and was bored enough to start this thing i think the 140 is going to be a problem for me tho  its like a myspace status
403,0, if only we were really so lucky eh and awh  definitely too early for work
404,0,buttload of homework 
405,0,needs another copy of visual studio 2008 
406,0,why to we the only school in the world be in this weekmy school is silly  anyway look on the bright side when im off u will be in
407,0,omg ive an economics test and i dont know all the things i have to know and omg im gonna fail 
408,0, once upon a time hundred islands was the pride of philippine tourism but coralclamrare fish poaching did it in kinda sad 
409,0, yeah apparently i have really bad taste 
410,0, i know i was really surprised since everyone recommends them on youtube  i have to call them tomorrow and figure it all out
411,0,waiting at the airport for my ride while i get harassed by 2 men trying to sell me ugly hats why me  i just want to sleep
412,0,i left my ids at the location and now i can not go out to bars  fuck
413,0, im sorry i dont understand your last comment 
414,0, when is the announcement i stayed up late last night 
415,0, this is strange illegal torrents avlbl everywhere legal dvd not in stock  what do i do now
416,0,its not enough to say that imiss u 
417,0,this trolley has up packed in like sardines padre game and they remove a car good call mts 
418,0, jeez i was just trying to help  haha
419,0, that happened to me saturday night along with my glittery green lighter 
420,0,trying to reduce the number of cigarettes in each day 
421,0,yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to 
422,0,gotta do my cooking assignment  its too hard
423,0, okay about the applepears ive talked to a few people and theyve all had them before no one ever told me never 
424,0, i know  im a night owl by nature hahaha am i a time zone behind you its almost 1 here
425,0, lol  nope but i did have complete camerafail 
426,0,  but im useless if i dont sleep  its not fair i want all the fun as well
427,0,my pookie has a uti  i have to be nurse gabbie and get him back to 100 no more sodas
428,0, tweet something damn it  and hang out with me please 
429,0, 
430,0,im so behind in video games and everything for that matter im yesterdays news 
431,0,tilnoon i did it was the only one left but i got tempted and ate it soon as i got home  i had a chocolate velvet amp ate d mocha
432,0,is stressing out because my blackberry keeps flashing a red alert status for no reason its faking me out and i hate it 
433,0,  i wanna wear my doc martens out havent worn them since december 
434,0,when to the shoe repair shop and the guy could not find my shoes  so i have to go back and see if he can find them in a couple days 
435,0,barnett i did not really see that coming 
436,0,just woke up from the most vivid sketchy notcool dreams of my life time to stare at the wall with the lights on 
437,0,itll take 3 days for my sister to get her passport 
438,0, oh my yes i miss 
439,0,uh oh i think i am getting sick 
440,0,good god they ruined my belly button  
441,0,watching who framed roger rabbit makes me miss toon town 
442,0, renting but very cheap renting and awesome house we had 3 buying attempts fall through 
443,0,running nose  spinning head  not a good combination for a meeting 
444,0, negative you lost my vote of confidence 
445,0,nasty budget due and my iphone is being sent to apple today 
446,0,noel thats bad 
447,0,dammit episode 3 of kings wont play for some reason  stopped in the middle now wont do anything
448,0,im so upset that i missed my chat and quiz online because my free internet has ceased 
449,0,cant believe it im in disbelief of it all in a way really how much can i take from people and always get hurt by others 
450,0,car show season has started without me 
451,0,my throat is raw 
452,0, i just dont get it what in a persons mind could even have them on some ish like this  my prayers are with her fam for real
453,0, i hate you i didnt need to see that i need to call my therapist now 
454,0,twilight didnt come yesterday  fingers crossed for today
455,0, glad i was able help you feel better i hate to see you sick  love you
456,0,is tired want to sleep but i have an assignment to finish and an exam tomorrow to study for 
457,0,you know i was thinking i need money 
458,0,omgits jst teusday 
459,0, henrie um i cant find it 
460,0,just heard that they found sandra cantu she was only 8 yrs old 
461,0, ive forgotten how to snoosnoo  i wonder if snoosnoo and i will ever meet again
462,0, wow that last tweet made me seem like a giant sexistsorry about that 
463,0,my bathtub drain is fired it haz 1 job 2 do amp it iz fail i got all drano on its ass amp iz still not draining i wanna shower dangit 
464,0,stuck at home 
465,0, mine is 110  how do you get it up
466,0,duckling in famous childrens book stolen from bostons public garden  the boston globe  via  oh no 
467,0,news thank you however i hate to be on the same list that includes 2 convicts  
468,0,heading to altrincham again out of hours install 
469,0,morning good im bloody knackered work is not for me today  help x
470,0,  i dont have a garage  but you can park in my driveway
471,0,  what happened
472,0,quoton popular musicquot by twadorno is probably the most difficult reading ever prescribed im actually struggling to continue 
473,0,  cant see the flowers falling  i dont have a camera just my cellphone
474,0,weve been good im not liking the snow right now was getting used to the nice springlike weather  how about you
475,0,armstrong what a pity youtube is currently blocked in china  i cant see the vids 
476,0, what happened to your show it was the hightlight of my life 
477,0,this is the best leather sofa in the world  its in the office though which means im still here working 
478,0,still 3 more days until my internet gets uncapped 
479,0,if he doesnt get better in a few days he could have something lodged in his belly 
480,0,i love my atekinzz so much ampamp i soo miss her 
481,0,i wanna sneak into the zoo and play with the kitties 
482,0, oh no  hope youre not getting sick too
483,0, i dont think i can cause its my cousins birthday party 
484,0,our sweet little man just fell asleep while waiting up for daddy and big brother to get home  poor baby he missed them so much today
485,0,the angel is going to miss the athlete this weekend 
486,0,trust is hard 
487,0,have watched that considering today yaknow shawnna tomomorrowi need my bestfriend 
488,0,grr i want to keep reading but if i do i wont have anything left to read 
489,0,atekinzz where in the world are you 
490,0, no u supposed to be my date 
491,0,pears amp brie bottle of cabernet and quotwin a date with tad hamiltonquot oh gawwd my life flashed forward to when im 40 with my 75 cats 
492,0,crap i need more dresses too 
493,0, yeah i know it was horrible ugh saddening 
494,0, geez ur no fun are you 
495,0,i wanna be in a punk rock band again 
496,0, thats a lot of angst for a tuesday afternoon 
497,0,im very glad britney isnt crazy anymore that was one hell of a show now im sad that its over  next upap at cook county
498,0,has a huge headache omg i feel like crap 
499,0, sorry 
500,0, sorryi was rooting for them too 
501,0,man that took forever 
502,0,  i see
503,0,i am listing more items on ebay to sell  takes forevermeanwhile coleman is watching the hills season premier without me 
504,0,just got my presentation done 23 slides done  im crying for this week will be the hardest of all weeks
505,0,just lost 160 
506,0,i dont like the previously on skins thing that starts at season two i like it when it went straight into the intro like before 
507,0, i wish i was thereim pretty good at scaring the shit out of people 
